study	pmid
Fuhr1993a	8485024
ZylberKatz1984	6734043
Ghassabian2009	19307938
Granfors2005	16198659
Haller2002	12087345
Healy1991	2069371
Harder1988	2853056
Harder1989	2589393
Healy1989	2729942
Seng2009	19125908
Akinyinka2000	10877011
Abernethy1985	4029248
Amchin1999	10073324
Balogh1992	1304170
Balogh1995	7589032
Benowitz2003	14586387
Blanchard1983a	6832208
Bonati1982	7083737
Campbell1987a	3608349
Cheng1990	2328560
Culm-Merdek2005	16236038
Desmond1980	7371463
Joeres1988	3371873
Kaplan1997	9378841
Parsons1978	657717
Renner1984	6420303
